['[CLR]', '▁presents', '▁a', '▁good', '▁case', '▁while', '▁failing', '▁to', '▁provide', '▁a', '▁reason', '▁for', '▁us', '▁to', '▁care', '▁beyond', '▁the', '▁very', '▁basic', '▁', 'dict', 'um', 's', '▁of', '▁human', '▁dec', 'ency', '[SEP]']	[0.21363762069336079, 0.06875212381891577, 0.014697464273896824, 0.02376395684040837, 0.05140783800073661, 0.027206018198431502, 0.020411475649548733, 0.012897350417446742, 0.01881216717103111, 0.012974560274041994, 0.0335241384655605, 0.01461099640793805, 0.018708945235305297, 0.014533449537614894, 0.041455039447895116, 0.023473885808694913, 0.012837706137504347, 0.020037277734046212, 0.02037590565738258, 0.0164441674593348, 0.098617052940637, 0.03552736363748528, 0.016664912663178762, 0.0145626107970789, 0.022517101256231506, 0.044144579179509834, 0.031474810989978494, 0.05592948130680448]
['[CLR]', '▁beautifully', '▁crafted', '▁engaging', '▁filmmaking', '▁that', '▁should', '▁attract', '▁up', 'scale', '▁audiences', '▁hungry', '▁for', '▁quality', '▁and', '▁a', '▁no', 'stal', 'gic', '▁twist', 'y', '▁yarn', '▁that', '▁will', '▁keep', '▁them', '▁guessing', '[SEP]']	[0.1880107195177585, 0.026225429896647473, 0.02295992373262405, 0.03281885001439178, 0.04508356346606309, 0.01689141546983377, 0.02197010077669184, 0.023332002851963633, 0.02027198812562206, 0.03151355985323874, 0.025451734438892433, 0.02927123050564263, 0.018196172050216897, 0.030123720958251006, 0.019725314040166676, 0.016885747736708798, 0.022349487336028526, 0.06946485541338625, 0.03190152593980388, 0.04348029576073265, 0.02991183599960522, 0.07181402868524424, 0.016381869953543918, 0.017129125146656633, 0.029539004648961763, 0.016893588703822394, 0.022156254834947774, 0.06024665414255314]
['[CLR]', '▁bread', '▁my', '▁sweet', '▁has', '▁so', '▁many', '▁f', 'law', 's', '▁it', '▁would', '▁be', '▁easy', '▁for', '▁critics', '▁to', '▁shred', '▁it', '[SEP]']	[0.22940183973106532, 0.05413552388744427, 0.033132151163391736, 0.051258293784100496, 0.025590168213964072, 0.028699627967163084, 0.02483946069395368, 0.03270208705511957, 0.06317529878710715, 0.022146746063781916, 0.02342090932999361, 0.02756948623493195, 0.02180054278061185, 0.04377672177331101, 0.025020312787579782, 0.10414921684897553, 0.022002862837594787, 0.060862429726594336, 0.030069336578555258, 0.07624698375476108]
['[CLR]', '▁slow', '▁silly', '▁and', '▁un', 'in', 'ten', 'tion', 'ally', '▁hil', 'ario', 'us', '[SEP]']	[0.2244038048223479, 0.044538802864712956, 0.049987346282059246, 0.03680250890527098, 0.05357602341907292, 0.06467776073146032, 0.11432192154524186, 0.07356010178764472, 0.05595079131605322, 0.05510615032218234, 0.061289168670492035, 0.05116591742241836, 0.11461970191104297]
['[CLR]', '▁ultimately', '▁feels', '▁empty', '▁and', '▁un', 's', 'ati', 's', 'fy', 'ing', '▁like', '▁swallowing', '▁a', '▁communion', '▁wa', 'fer', '▁without', '▁the', '▁wine', '[SEP]']	[0.2267081360194154, 0.03513520136499121, 0.030085600559997046, 0.029549272219175877, 0.021990490118268834, 0.03506946097628315, 0.03046339454578387, 0.08525201836608363, 0.03162498248679399, 0.04085913440388404, 0.026751860384215776, 0.029462880195167147, 0.03306598270386427, 0.019283940113276596, 0.04653698965376975, 0.05681268199903587, 0.04952410971210886, 0.032716414525001354, 0.021422865743839416, 0.032974239663943715, 0.08471034424509988]
['[CLR]', '▁ex', 'ude', 's', '▁the', '▁f', 'izz', '▁of', '▁a', '▁bus', 'by', '▁berkeley', '▁musical', '▁and', '▁the', '▁vis', 'cer', 'al', '▁excitement', '▁of', '▁a', '▁sports', '▁extra', 'vag', 'anza', '[SEP]']	[0.22558276006653588, 0.03402738678517263, 0.052917634030696235, 0.01987704798156575, 0.01568436387694298, 0.023364293235110762, 0.029021284866357046, 0.016685785114471722, 0.015031844473785022, 0.029061204318984752, 0.03217881161876793, 0.02460395042432434, 0.03412725676632053, 0.018145260231552454, 0.015200478059788683, 0.03673417990868951, 0.03929349499587618, 0.024452144325729223, 0.020630860247251824, 0.015240044171221516, 0.014847504069008918, 0.023019325076849298, 0.03488261241833194, 0.10727552843992566, 0.03273516763034597, 0.06537977686639358]
['[CLR]', '▁the', '▁film', '▁re', 'hash', 'es', '▁several', '▁old', '▁themes', '▁and', '▁is', '▁capped', '▁with', '▁point', 'less', '▁extreme', 's', '[SEP]']	[0.2117638410037354, 0.02261411073053715, 0.03331206358806126, 0.04536417526013277, 0.12967684148843886, 0.03442833536195307, 0.029475131694826084, 0.034578950044412284, 0.03735849646541213, 0.02582110305503314, 0.025718443743811596, 0.05419537125308036, 0.03269562335875925, 0.051358801916391784, 0.04936457479924504, 0.0705544860137652, 0.028589823747243105, 0.08312982647516126]
['[CLR]', '▁ryan', '▁go', 's', 'ling', '▁is', '▁in', '▁a', '▁word', '▁brilliant', '▁as', '▁the', '▁conflict', 'ed', '▁daniel', '[SEP]']	[0.24510724332178255, 0.03942438529653319, 0.030367361098215914, 0.030742934326162364, 0.0430029484513231, 0.03559575971699503, 0.04336545167645262, 0.030350623334266334, 0.09074793782939759, 0.09677625731885554, 0.04563828009428473, 0.030002405584508538, 0.054356131228327734, 0.04930892205361164, 0.039307369929168834, 0.09590598874011443]
['[CLR]', '▁if', '▁deuce', 's', '▁wild', '▁had', '▁been', '▁tweak', 'ed', '▁up', '▁a', '▁not', 'ch', '▁it', '▁would', '▁have', '▁become', '▁a', '▁camp', '▁adventure', '▁one', '▁of', '▁those', '▁movies', '[SEP]']	[0.2041466579849456, 0.027231456743147617, 0.07420637475064035, 0.022478111297153505, 0.033910018193939996, 0.01899325166613082, 0.018875248934082725, 0.045674567712134295, 0.02210727783808278, 0.02300116098599098, 0.019777629247134387, 0.036303909472671966, 0.09248620083379462, 0.021010046515547068, 0.019798205740114667, 0.01851234625353383, 0.023760409022380524, 0.01734499431651921, 0.031086014379637046, 0.0403961934892796, 0.03359452128181054, 0.024903431336058948, 0.04220975978167195, 0.020980248494278896, 0.06721196372931855]
['[CLR]', '▁fri', 'da', '▁is', '▁certainly', '▁no', '▁disaster', '▁but', '▁neither', '▁is', '▁it', '▁the', '▁kahl', 'o', '▁movie', '▁fri', 'da', '▁fans', '▁have', '▁been', '▁looking', '▁for', '[SEP]']	[0.21803301407021586, 0.026764631718655098, 0.027780528633276957, 0.017819873579435045, 0.027318153420141912, 0.025698506109529815, 0.04757877734568338, 0.021879200284075074, 0.041916808411397846, 0.02452054822936611, 0.025467172940103172, 0.02577195526692679, 0.13442601484203898, 0.03254473647147955, 0.043773863144766334, 0.03305676756647093, 0.02566253689592064, 0.031419695901462666, 0.020352819039714455, 0.021187661427902828, 0.03717280343292143, 0.022756607832289402, 0.06709732343622564]
