,sentence_id,word_id,word_id_orig,word,TRT,relFix
380534,0,0,1-5-1,the,118.0,0.026909920182440136
380535,0,1,1-5-2,intense,87.0,0.01984036488027366
380536,0,2,1-5-3,interest,410.0,0.09350057012542759
380537,0,3,1-5-4,aroused,385.0,0.08779931584948689
380538,0,4,1-5-5,in,0.0,0.0
380539,0,5,1-5-6,the,168.0,0.03831242873432155
380540,0,6,1-5-7,public,385.0,0.08779931584948689
380541,0,7,1-5-8,by,150.0,0.03420752565564424
380542,0,8,1-5-9,what,176.0,0.040136830102622575
380543,0,9,1-5-10,was,191.0,0.043557582668187
380544,0,10,1-5-11,known,175.0,0.039908779931584946
380545,0,11,1-5-12,at,0.0,0.0
380546,0,12,1-5-13,the,0.0,0.0
380547,0,13,1-5-14,time,467.0,0.10649942987457241
380548,0,14,1-5-15,as,0.0,0.0
380549,0,15,1-5-16,the,0.0,0.0
380550,0,16,1-5-17,styles,447.0,0.10193842645381984
380551,0,17,1-5-18,case,300.0,0.06841505131128849
380552,0,18,1-5-19,has,0.0,0.0
380553,0,19,1-5-20,now,147.0,0.033523375142531356
380554,0,20,1-5-21,somewhat,353.0,0.08050171037628279
380555,0,21,1-5-22,subsided,426.0,0.09714937286202964
380556,1,0,1-5-23,nevertheless,449.0,0.1045888655951549
380557,1,1,1-5-24,in,0.0,0.0
380558,1,2,1-5-25,view,287.0,0.06685301653855114
380559,1,3,1-5-26,of,0.0,0.0
380560,1,4,1-5-27,the,0.0,0.0
380561,1,5,1-5-28,worldwide,332.0,0.07733519683205217
380562,1,6,1-5-29,notoriety,567.0,0.1320754716981132
380563,1,7,1-5-30,which,178.0,0.041462846494293035
380564,1,8,1-5-31,attended,158.0,0.03680409969718146
380565,1,9,1-5-32,it,0.0,0.0
380566,1,10,1-5-33,i,0.0,0.0
380567,1,11,1-5-34,have,113.0,0.02632191940368041
380568,1,12,1-5-35,been,0.0,0.0
380569,1,13,1-5-36,asked,240.0,0.055904961565338925
380570,1,14,1-5-37,both,0.0,0.0
380571,1,15,1-5-38,by,0.0,0.0
