WORD	TechnialTerm	WordIndexInSentence	SentenceIndex	WordLen	WordIndexInText	Quote	Parentheses	Symbol	Hyph	ClauseBegin	SentenceBegin	isAbbr	containsAbbr	PRELS	PRELAT	PPOSAT	PPER	PPOSS	PIDAT	PIAT	PIS	PDAT	PDS	NN	NE	KOKOM	KON	KOUS	KOUI	ITJ	FM	CARD	ART	APZR	APPO	APPRART	APPR	ADV	ADJD	ADJA	XY	VMPP	VMINF	VMFIN	VAPP	VAFIN	VVPP	VVIZU	VVINF	VVIMP	VVFIN	TRUNC	PTKA	PTKANT	PTKVZ	PTKNEG	PTKZU	PAV	PWAV	PWAT	PWS	PRF	Type	Lemma	Lemma_length_(characters)	Type_length_(syllables)	Annotated_type_frequency_normalized	Type_frequency_normalized	Lemma_frequency_normalized	Familiarity_normalized	Regularity_normalized	Document_frequency_normalized	Sentence_frequency_normalized	Cumulative_syllable_corpus_frequency_normalized	Cumulative_syllable_lexicon_frequency_normalized	Cumulative_character_corpus_frequency_normalized	Cumulative_character_lexicon_frequency_normalized	Cumulative_character_bigram_corpus_frequency_normalized	Cumulative_character_bigram_lexicon_frequency_normalized	Cumulative_character_trigram_corpus_frequency_normalized	Cumulative_character_trigram_lexicon_frequency_normalized	Initial_letter_frequency_normalized	Initial_bigram_frequency_normalized	Initial_trigram_frequency_normalized	Avg._cond._prob.,_in_bigrams	Avg._cond._prob.,_in_trigrams	Neighbors_Coltheart_higher_freq.,_cum._freq.,_normalized	Neighbors_Coltheart_higher_freq.,_count,_normalized	Neighbors_Coltheart_all,_cum._freq.,_normalized	Neighbors_Coltheart_all,_count,_normalized	Neighbors_Levenshtein_higher_freq.,_cum._freq.,_normalized	Neighbors_Levenshtein_higher_freq.,_count,_normalized	Neighbors_Levenshtein_all,_cum._freq.,_normalized	Neighbors_Levenshtein_all,_count,_normalized	WordIndexSent	SentIndex	FFD	SFD	FD	FPRT	FRT	TFT	RRT	RPD_inc	RPD_exc	RBRT	Fix	FPF	RR	FPReg	TRC_out	TRC_in	LP	SL_in	SL_out	ACC_B_Q1	ACC_B_Q2	ACC_B_Q3	ACC_T_Q1	ACC_T_Q2	ACC_T_Q3	meanAccTQ	meanAccBQ	topic	trial	itemid	reader	gender	major	expert_status	age	group
In	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	In	in	2	1.0	1126.95098976	1129.46891409	14298.1641135	0.0	0.0	3679.81140163	2136.22079625	18583.5486983	15158.092107	482564.023928	1003993.18487	206102.496999	254899.442632	207172.18156	253451.656264	8060.80774179	3275.63970259	-0.00817507899599	0.0192971185569	0.0371644358343	17049.8303029	0.856171713799	18134.491609	46.661358402	17049.8303029	0.856171713799	18352.7743933	56.9354189676	1	1	175	175	175	175	175	2153	1978	175	0	175	1	1	1	0	0	4	1	1	2	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.6666666666666666	1	1	b1	67	-1	1	1	41	2
der	0	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	der	d	1	1.0	24738.5901996	26530.3631386	80100.3069113	26530.3631386	0.428085856899	9372.80956103	30912.3596552	38163.5169	19310.096833	1332151.97174	2710999.66609	487983.455471	535760.152056	398226.025843	178781.068331	110461.430317	53801.2331077	27238.2432288	0.129811235347	0.318759302208	0.0	0.0	25590.4497812	36.8153836934	0.0	0.0	33289.1996244	55.22307554	2	1	0	0	287	0	287	287	287	0	0	0	1	0	1	0	0	0	3	1	1	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.6666666666666666	1	1	b1	67	-1	1	1	41	2
homologen	2	3	1	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	homologen	homolog	7	4.0	0.792982662611	0.792982662611	2.2481467239	4.63526979073	13.2706615639	1.76495801921	1.48976947369	24382.8025866	71071.2420483	2208942.20061	5324845.67505	488029.448466	919990.32526	367863.152971	503150.711907	17646.9952984	802.122400929	24.6151628569	0.000137162886598	0.13416131001	0.0	0.0	1.07911042747	1.7123434276	0.0	0.0	1.52873977225	2.1404292845	3	1	181	181	181	181	181	750	569	181	0	181	1	1	1	0	1	0	1	2	1	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.6666666666666666	1	1	b1	67	-1	1	1	41	2
Rekombinationsreparatur	2	4	1	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Rekombinationsreparatur	Rekombinationsreparatur	23	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	1	238	0	238	385	385	1940	1555	1732	929	803	1	1	1	1	1	0	4	1	-3	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.6666666666666666	1	1	b1	67	-1	1	1	41	2
veranlasst	0	5	1	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	veranlasst	veranlassen	11	3.0	0.024525236988	0.923783926547	45.2245370058	1355.77962593	1024.40945556	11.8504324147	1.75358281799	28017.5653344	58797.1643593	3092637.01945	7605615.63027	444711.17638	949559.499653	151929.085245	185797.823612	23102.1601118	7335.96436261	7300.98319958	0.0591445362832	0.300250719106	0.0	0.0	0.335178238836	0.428085856899	0.0	0.0	0.564080450723	1.7123434276	5	1	202	202	202	202	202	619	417	2762	2374	388	1	1	1	1	1	0	6	1	-4	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.6666666666666666	1	1	b1	67	-1	1	1	41	2
RecA	2	6	1	4	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RecA	RecA	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6	1	336	0	336	861	861	1222	361	861	0	861	1	1	1	0	0	0	3	1	1	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.6666666666666666	1	1	b1	67	-1	1	1	41	2
in	0	7	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	in	in	2	1.0	13129.4221199	13165.4578681	14298.1641135	0.0	0.0	8527.89894355	19687.5208529	18583.5486983	15158.092107	842500.587604	1735372.30627	309490.415689	350022.68855	273957.116004	252232.89583	37971.7622471	15391.66268	-0.00817507899599	0.0682365415668	0.281559937821	0.0	0.0	9683.14399346	42.380499833	0.0	0.0	17389.6438116	75.7711966712	7	1	194	194	194	194	194	307	113	194	0	194	1	1	1	0	0	1	1	1	1	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.6666666666666666	1	1	b1	67	-1	1	1	41	2
Verbindung	0	8	1	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Verbindung	Verbindung	10	3.0	92.2557664698	92.2557664698	119.822132844	1001.15287417	603.601058228	482.085676105	171.975263619	17128.5236134	43888.6463069	3046949.9283	6453130.59187	467538.473986	960965.419224	103578.537007	264620.416271	10632.1480387	5672.28673645	5517.81044374	0.0169571790839	0.182952200602	0.0	0.0	0.547730292732	3.8527727121	0.0	0.0	0.866558373575	5.13703028279	8	1	192	192	192	192	192	563	371	192	0	192	1	1	1	0	0	0	5	1	2	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.6666666666666666	1	1	b1	67	-1	1	1	41	2
mit	0	9	1	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	mit	mit	3	1.0	6311.02200856	6389.55999248	6727.32973136	6389.55999248	0.428085856899	6848.28925141	10606.5379154	9545.0750843	6105.78857696	754691.189375	1756517.60717	154872.35076	192565.004837	138846.449102	106042.43187	21052.512481	9522.82251927	6974.74032209	0.0635514315396	0.282257671036	0.0	0.0	1501.70478601	30.3940958399	0.0	0.0	1518.70077524	44.5209291175	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.6666666666666666	1	1	b1	67	-1	1	1	41	2
einer	0	10	1	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	einer	eine	4	2.0	2342.47896043	2431.18674262	17543.4333976	7303.86082739	14.1268332777	4894.732861	4237.55615733	21798.3739882	14462.4525895	2727078.92811	5805735.49431	528986.765912	752729.903509	325207.675415	207395.611264	45007.5949345	21503.4825387	20569.6023896	0.0318816192149	0.182077876037	0.0	0.0	4849.55496137	17.9796059898	4602.28334698	0.428085856899	10773.3725284	33.3906968382	10	1	182	182	182	182	182	510	328	182	0	182	1	1	1	0	0	1	1	2	1	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.6666666666666666	1	1	b1	67	-1	1	1	41	2
